CID;NAME;COUNTRY;INDUSTRY;SECTOR;REQUIREMENTS;PREFERENCES
ORG0000011;Airbus;France;Aircraft Manufacturing;Aerospace & Defense;Export-friendly tax policies, Private sector partnerships, Long-term procurement cycles;Long-term procurement cycles, Advanced aerospace R&D, Private sector partnerships
ORG0000012;Boeing;United States;Aircraft Manufacturing;Aerospace & Defense;Stable government funding, Long-term procurement cycles, Advanced aerospace R&D;Defense offset agreements, Stable government funding, Advanced aerospace R&D
ORG0000013;Bombardier Aerospace;Canada;Aircraft Manufacturing;Aerospace & Defense;Defense offset agreements, Private sector partnerships, Export-friendly tax policies;Private sector partnerships, Advanced aerospace R&D, Stable government funding
ORG0000014;Embraer;Brazil;Aircraft Manufacturing;Aerospace & Defense;Private sector partnerships, Long-term procurement cycles, Stable government funding;Stable government funding, Private sector partnerships, Defense offset agreements
ORG0000015;BAE Systems;United Kingdom;Defense Contractors;Aerospace & Defense;Private sector partnerships, Advanced aerospace R&D, Export-friendly tax policies;Private sector partnerships, Advanced aerospace R&D, Stable government funding
ORG0000016;General Dynamics;United States;Defense Contractors;Aerospace & Defense;Export-friendly tax policies, Defense offset agreements, Private sector partnerships;Long-term procurement cycles, Advanced aerospace R&D, Private sector partnerships
ORG0000017;Lockheed Martin;United States;Defense Contractors;Aerospace & Defense;Stable government funding, Private sector partnerships, Export-friendly tax policies;Export-friendly tax policies, Private sector partnerships, Advanced aerospace R&D
ORG0000018;Northrop Grumman;United States;Defense Contractors;Aerospace & Defense;Defense offset agreements, Export-friendly tax policies, Private sector partnerships;Private sector partnerships, Long-term procurement cycles, Export-friendly tax policies
ORG0000019;Leonardo S.p.A.;Italy;Military Systems;Aerospace & Defense;Private sector partnerships, Long-term procurement cycles, Defense offset agreements;Private sector partnerships, Stable government funding, Advanced aerospace R&D
ORG0000020;Raytheon Technologies;United States;Military Systems;Aerospace & Defense;Private sector partnerships, Export-friendly tax policies, Stable government funding;Defense offset agreements, Private sector partnerships, Advanced aerospace R&D
ORG0000021;Saab AB;Sweden;Military Systems;Aerospace & Defense;Defense offset agreements, Long-term procurement cycles, Export-friendly tax policies;Private sector partnerships, Long-term procurement cycles, Export-friendly tax policies
ORG0000022;Thales Group;France;Military Systems;Aerospace & Defense;Private sector partnerships, Stable government funding, Long-term procurement cycles;Export-friendly tax policies, Defense offset agreements, Stable government funding
ORG0000023;Blue Origin;United States;Space Exploration;Aerospace & Defense;Defense offset agreements, Long-term procurement cycles, Advanced aerospace R&D;Advanced aerospace R&D, Long-term procurement cycles, Export-friendly tax policies
ORG0000024;Northrop Grumman;United States;Space Exploration;Aerospace & Defense;Long-term procurement cycles, Export-friendly tax policies, Stable government funding;Stable government funding, Defense offset agreements, Advanced aerospace R&D
ORG0000025;SpaceX;United States;Space Exploration;Aerospace & Defense;Advanced aerospace R&D, Defense offset agreements, Export-friendly tax policies;Advanced aerospace R&D, Private sector partnerships, Defense offset agreements
ORG0000026;United Launch Alliance;United States;Space Exploration;Aerospace & Defense;Defense offset agreements, Private sector partnerships, Stable government funding;Advanced aerospace R&D, Long-term procurement cycles, Export-friendly tax policies
ORG0000027;ADM (Archer Daniels Midland);United States;Agribusiness;Agriculture;Agri-fintech adoption, Farmer co-op funding, Climate-smart farming models;Farmer co-op funding, Organic farming incentives, High-yield seed research
ORG0000028;Bunge Limited;United States;Agribusiness;Agriculture;Climate-smart farming models, Efficient water usage funds, High-yield seed research;High-yield seed research, Climate-smart farming models, Efficient water usage funds
ORG0000029;Cargill;United States;Agribusiness;Agriculture;Climate-smart farming models, High-yield seed research, Efficient water usage funds;Agri-fintech adoption, Organic farming incentives, High-yield seed research
ORG0000030;Nutrien Ag Solutions;Canada;Agribusiness;Agriculture;Organic farming incentives, Agri-fintech adoption, Efficient water usage funds;Efficient water usage funds, Climate-smart farming models, High-yield seed research
ORG0000031;Ag Leader Technology;United States;Precision Agriculture;Agriculture;Efficient water usage funds, Climate-smart farming models, Farmer co-op funding;Efficient water usage funds, Agri-fintech adoption, High-yield seed research
ORG0000032;AgJunction, Inc.;Canada;Precision Agriculture;Agriculture;High-yield seed research, Farmer co-op funding, Organic farming incentives;Agri-fintech adoption, Organic farming incentives, Farmer co-op funding
ORG0000033;Deere & Company;United States;Precision Agriculture;Agriculture;High-yield seed research, Climate-smart farming models, Agri-fintech adoption;Agri-fintech adoption, High-yield seed research, Farmer co-op funding
ORG0000034;Trimble Inc.;United States;Precision Agriculture;Agriculture;Efficient water usage funds, Organic farming incentives, Agri-fintech adoption;Agri-fintech adoption, High-yield seed research, Farmer co-op funding
ORG0000035;BASF SE;Germany;Agrochemicals;Agriculture;Organic farming incentives, Climate-smart farming models, Farmer co-op funding;Farmer co-op funding, High-yield seed research, Efficient water usage funds
ORG0000036;Bayer CropScience;Germany;Agrochemicals;Agriculture;Climate-smart farming models, High-yield seed research, Efficient water usage funds;Agri-fintech adoption, Climate-smart farming models, Farmer co-op funding
ORG0000037;Corteva Agriscience;United States;Agrochemicals;Agriculture;Climate-smart farming models, High-yield seed research, Agri-fintech adoption;Farmer co-op funding, Agri-fintech adoption, Efficient water usage funds
ORG0000038;Syngenta AG;Switzerland;Agrochemicals;Agriculture;Farmer co-op funding, Efficient water usage funds, High-yield seed research;Efficient water usage funds, High-yield seed research, Climate-smart farming models
ORG0000039;Bayer CropScience;Germany;Seed & Fertilizer;Agriculture;Farmer co-op funding, Efficient water usage funds, High-yield seed research;Agri-fintech adoption, High-yield seed research, Organic farming incentives
ORG0000040;Corteva Agriscience;United States;Seed & Fertilizer;Agriculture;Agri-fintech adoption, Farmer co-op funding, Climate-smart farming models;Agri-fintech adoption, Organic farming incentives, Farmer co-op funding
ORG0000041;Nutrien Ltd.;Canada;Seed & Fertilizer;Agriculture;Agri-fintech adoption, High-yield seed research, Organic farming incentives;Agri-fintech adoption, Efficient water usage funds, Farmer co-op funding
ORG0000042;Syngenta AG;Switzerland;Seed & Fertilizer;Agriculture;Agri-fintech adoption, High-yield seed research, Efficient water usage funds;Agri-fintech adoption, Organic farming incentives, Farmer co-op funding
ORG0000043;BYD Auto;China;Automakers;Automotive;Flexible EV charging options, Mass transit electrification, Lightweight material R&D;Battery swapping networks, AI-based vehicle safety funds, Lightweight material R&D
ORG0000044;Ford Motor Company;United States;Automakers;Automotive;Mass transit electrification, Lightweight material R&D, AI-based vehicle safety funds;Self-driving regulations, Battery swapping networks, AI-based vehicle safety funds
ORG0000045;Tesla, Inc.;United States;Automakers;Automotive;Battery swapping networks, Mass transit electrification, Flexible EV charging options;Lightweight material R&D, Flexible EV charging options, Mass transit electrification
ORG0000046;Volkswagen Group;Germany;Automakers;Automotive;Flexible EV charging options, Battery swapping networks, AI-based vehicle safety funds;Flexible EV charging options, AI-based vehicle safety funds, Battery swapping networks
ORG0000047;BYD Auto;China;Electric Vehicles;Automotive;Mass transit electrification, Battery swapping networks, Lightweight material R&D;Mass transit electrification, AI-based vehicle safety funds, Self-driving regulations
ORG0000048;Hyundai Motor Company;South Korea;Electric Vehicles;Automotive;Flexible EV charging options, Lightweight material R&D, AI-based vehicle safety funds;AI-based vehicle safety funds, Lightweight material R&D, Self-driving regulations
ORG0000049;Tesla, Inc.;United States;Electric Vehicles;Automotive;AI-based vehicle safety funds, Self-driving regulations, Mass transit electrification;Self-driving regulations, Flexible EV charging options, AI-based vehicle safety funds
ORG0000050;Volkswagen Group;Germany;Electric Vehicles;Automotive;Battery swapping networks, AI-based vehicle safety funds, Self-driving regulations;Self-driving regulations, Mass transit electrification, Flexible EV charging options
ORG0000051;Bosch;Germany;Auto Parts & Suppliers;Automotive;Self-driving regulations, Mass transit electrification, AI-based vehicle safety funds;AI-based vehicle safety funds, Flexible EV charging options, Battery swapping networks
ORG0000052;Continental AG;Germany;Auto Parts & Suppliers;Automotive;Lightweight material R&D, Mass transit electrification, Battery swapping networks;Flexible EV charging options, Battery swapping networks, AI-based vehicle safety funds
ORG0000053;DENSO Corporation;Japan;Auto Parts & Suppliers;Automotive;Battery swapping networks, Mass transit electrification, Self-driving regulations;Self-driving regulations, Mass transit electrification, Battery swapping networks
ORG0000054;Magna International;Canada;Auto Parts & Suppliers;Automotive;Flexible EV charging options, Mass transit electrification, AI-based vehicle safety funds;AI-based vehicle safety funds, Mass transit electrification, Self-driving regulations
ORG0000055;Didi Chuxing;China;Mobility Services;Automotive;Self-driving regulations, AI-based vehicle safety funds, Battery swapping networks;Battery swapping networks, Flexible EV charging options, Self-driving regulations
ORG0000056;Lyft, Inc.;United States;Mobility Services;Automotive;Lightweight material R&D, Battery swapping networks, AI-based vehicle safety funds;AI-based vehicle safety funds, Self-driving regulations, Flexible EV charging options
ORG0000057;Uber Technologies, Inc.;United States;Mobility Services;Automotive;Battery swapping networks, Lightweight material R&D, Mass transit electrification;Lightweight material R&D, Flexible EV charging options, Self-driving regulations
ORG0000058;Waymo LLC;United States;Mobility Services;Automotive;Self-driving regulations, Flexible EV charging options, Mass transit electrification;AI-based vehicle safety funds, Lightweight material R&D, Battery swapping networks
ORG0000059;Amgen Inc.;United States;Biopharmaceuticals;Biotechnology;AI-powered drug testing, Bioinformatics expansion, Global disease prevention funds;Global disease prevention funds, Bioinformatics expansion, Regenerative medicine support
ORG0000060;Biogen Inc.;United States;Biopharmaceuticals;Biotechnology;Affordable gene therapies, Bioinformatics expansion, Global disease prevention funds;Regenerative medicine support, Biotech patent fast-tracking, Bioinformatics expansion
ORG0000061;Gilead Sciences;United States;Biopharmaceuticals;Biotechnology;Global disease prevention funds, AI-powered drug testing, Regenerative medicine support;Regenerative medicine support, Biotech patent fast-tracking, Affordable gene therapies
ORG0000062;Novo Nordisk A/S;Denmark;Biopharmaceuticals;Biotechnology;Biotech patent fast-tracking, Global disease prevention funds, Regenerative medicine support;Bioinformatics expansion, Regenerative medicine support, AI-powered drug testing
ORG0000063;23andMe Holding Co.;United States;Genomics;Biotechnology;Global disease prevention funds, Biotech patent fast-tracking, Bioinformatics expansion;Bioinformatics expansion, Biotech patent fast-tracking, Regenerative medicine support
ORG0000064;Illumina, Inc.;United States;Genomics;Biotechnology;AI-powered drug testing, Affordable gene therapies, Regenerative medicine support;AI-powered drug testing, Bioinformatics expansion, Affordable gene therapies
ORG0000065;Oxford Nanopore Technologies;United Kingdom;Genomics;Biotechnology;AI-powered drug testing, Biotech patent fast-tracking, Regenerative medicine support;Bioinformatics expansion, Affordable gene therapies, AI-powered drug testing
ORG0000066;Pacific Biosciences of California, Inc.;United States;Genomics;Biotechnology;AI-powered drug testing, Regenerative medicine support, Biotech patent fast-tracking;Global disease prevention funds, Regenerative medicine support, Bioinformatics expansion
ORG0000067;CRISPR Therapeutics AG;Switzerland;Medical Biotech;Biotechnology;Affordable gene therapies, Biotech patent fast-tracking, Bioinformatics expansion;AI-powered drug testing, Bioinformatics expansion, Regenerative medicine support
ORG0000068;Moderna, Inc.;United States;Medical Biotech;Biotechnology;AI-powered drug testing, Bioinformatics expansion, Global disease prevention funds;AI-powered drug testing, Regenerative medicine support, Biotech patent fast-tracking
ORG0000069;Regeneron Pharmaceuticals, Inc.;United States;Medical Biotech;Biotechnology;Affordable gene therapies, Global disease prevention funds, Bioinformatics expansion;AI-powered drug testing, Bioinformatics expansion, Global disease prevention funds
ORG0000070;Vertex Pharmaceuticals Incorporated;United States;Medical Biotech;Biotechnology;Biotech patent fast-tracking, Global disease prevention funds, Affordable gene therapies;Global disease prevention funds, Biotech patent fast-tracking, Affordable gene therapies
ORG0000071;Ginkgo Bioworks Holdings, Inc.;United States;Synthetic Biology;Biotechnology;Biotech patent fast-tracking, Global disease prevention funds, AI-powered drug testing;Biotech patent fast-tracking, Regenerative medicine support, Global disease prevention funds
ORG0000072;Inscripta, Inc.;United States;Synthetic Biology;Biotechnology;Regenerative medicine support, Affordable gene therapies, Bioinformatics expansion;Biotech patent fast-tracking, AI-powered drug testing, Regenerative medicine support
ORG0000073;Synthego Corporation;United States;Synthetic Biology;Biotechnology;Affordable gene therapies, Biotech patent fast-tracking, AI-powered drug testing;AI-powered drug testing, Affordable gene therapies, Global disease prevention funds
ORG0000074;Zymergen Inc.;United States;Synthetic Biology;Biotechnology;Bioinformatics expansion, AI-powered drug testing, Global disease prevention funds;AI-powered drug testing, Affordable gene therapies, Biotech patent fast-tracking
ORG0000075;BASF SE;Germany;Agrochemicals;Chemicals;Water purification tech investment, Bio-based chemical subsidies, Non-toxic alternatives R&D;Plastic waste reduction, Energy-efficient production, Non-toxic alternatives R&D
ORG0000076;BASF SE;Germany;Industrial Chemicals;Chemicals;Plastic waste reduction, Air pollution control funds, Bio-based chemical subsidies;Air pollution control funds, Bio-based chemical subsidies, Energy-efficient production
ORG0000077;BASF SE;Germany;Petrochemicals;Chemicals;Non-toxic alternatives R&D, Bio-based chemical subsidies, Energy-efficient production;Energy-efficient production, Bio-based chemical subsidies, Water purification tech investment
ORG0000078;BASF SE;Germany;Specialty Chemicals;Chemicals;Air pollution control funds, Water purification tech investment, Non-toxic alternatives R&D;Bio-based chemical subsidies, Plastic waste reduction, Air pollution control funds
ORG0000079;Dow Inc.;United States;Industrial Chemicals;Chemicals;Energy-efficient production, Bio-based chemical subsidies, Air pollution control funds;Energy-efficient production, Non-toxic alternatives R&D, Bio-based chemical subsidies
ORG0000080;Dow Inc.;United States;Petrochemicals;Chemicals;Plastic waste reduction, Air pollution control funds, Non-toxic alternatives R&D;Energy-efficient production, Plastic waste reduction, Bio-based chemical subsidies
ORG0000081;Dow Inc.;United States;Specialty Chemicals;Chemicals;Energy-efficient production, Air pollution control funds, Water purification tech investment;Bio-based chemical subsidies, Energy-efficient production, Air pollution control funds
ORG0000082;INEOS Group;United Kingdom;Industrial Chemicals;Chemicals;Air pollution control funds, Bio-based chemical subsidies, Non-toxic alternatives R&D;Energy-efficient production, Plastic waste reduction, Water purification tech investment
ORG0000083;INEOS Group;United Kingdom;Petrochemicals;Chemicals;Water purification tech investment, Non-toxic alternatives R&D, Plastic waste reduction;Energy-efficient production, Plastic waste reduction, Bio-based chemical subsidies
ORG0000084;INEOS Group;United Kingdom;Specialty Chemicals;Chemicals;Water purification tech investment, Air pollution control funds, Bio-based chemical subsidies;Water purification tech investment, Non-toxic alternatives R&D, Plastic waste reduction
ORG0000085;LG Chem;South Korea;Industrial Chemicals;Chemicals;Non-toxic alternatives R&D, Bio-based chemical subsidies, Water purification tech investment;Water purification tech investment, Non-toxic alternatives R&D, Air pollution control funds
ORG0000086;LG Chem;South Korea;Petrochemicals;Chemicals;Energy-efficient production, Bio-based chemical subsidies, Water purification tech investment;Water purification tech investment, Energy-efficient production, Non-toxic alternatives R&D
ORG0000087;LG Chem;South Korea;Specialty Chemicals;Chemicals;Air pollution control funds, Energy-efficient production, Water purification tech investment;Water purification tech investment, Air pollution control funds, Bio-based chemical subsidies
ORG0000088;SABIC;Saudi Arabia;Industrial Chemicals;Chemicals;Water purification tech investment, Bio-based chemical subsidies, Air pollution control funds;Bio-based chemical subsidies, Plastic waste reduction, Energy-efficient production
ORG0000089;SABIC;Saudi Arabia;Petrochemicals;Chemicals;Bio-based chemical subsidies, Plastic waste reduction, Water purification tech investment;Plastic waste reduction, Air pollution control funds, Non-toxic alternatives R&D
ORG0000090;SABIC;Saudi Arabia;Specialty Chemicals;Chemicals;Water purification tech investment, Air pollution control funds, Energy-efficient production;Bio-based chemical subsidies, Plastic waste reduction, Water purification tech investment
ORG0000091;Bechtel Corporation;United States;Civil Engineering;Construction;Seismic-resistant designs, Energy-neutral housing, AI-based construction planning;Smart city development, Energy-neutral housing, Zero-waste construction goals
ORG0000092;Bechtel Corporation;United States;Commercial Construction;Construction;3D-printed building projects, Zero-waste construction goals, AI-based construction planning;Zero-waste construction goals, Seismic-resistant designs, Smart city development
ORG0000093;Bechtel Corporation;United States;Infrastructure Projects;Construction;AI-based construction planning, Seismic-resistant designs, Zero-waste construction goals;Zero-waste construction goals, 3D-printed building projects, Seismic-resistant designs
ORG0000094;Bechtel Corporation;United States;Residential Construction;Construction;Energy-neutral housing, 3D-printed building projects, Seismic-resistant designs;Seismic-resistant designs, Zero-waste construction goals, 3D-printed building projects
ORG0000095;Grupo ACS;Spain;Civil Engineering;Construction;Smart city development, 3D-printed building projects, Energy-neutral housing;Zero-waste construction goals, Seismic-resistant designs, 3D-printed building projects
ORG0000096;Grupo ACS;Spain;Commercial Construction;Construction;AI-based construction planning, Seismic-resistant designs, 3D-printed building projects;Smart city development, Seismic-resistant designs, AI-based construction planning
ORG0000097;Grupo ACS;Spain;Infrastructure Projects;Construction;Seismic-resistant designs, Smart city development, AI-based construction planning;AI-based construction planning, Seismic-resistant designs, 3D-printed building projects
ORG0000098;Grupo ACS;Spain;Residential Construction;Construction;Seismic-resistant designs, Energy-neutral housing, AI-based construction planning;Smart city development, 3D-printed building projects, Zero-waste construction goals
ORG0000099;VINCI;France;Civil Engineering;Construction;Energy-neutral housing, Smart city development, AI-based construction planning;Energy-neutral housing, Smart city development, 3D-printed building projects
ORG0000100;VINCI;France;Commercial Construction;Construction;Energy-neutral housing, AI-based construction planning, 3D-printed building projects;Smart city development, Seismic-resistant designs, Zero-waste construction goals
ORG0000101;VINCI;France;Infrastructure Projects;Construction;AI-based construction planning, Smart city development, Zero-waste construction goals;3D-printed building projects, Smart city development, Zero-waste construction goals
ORG0000102;VINCI;France;Residential Construction;Construction;Seismic-resistant designs, Energy-neutral housing, AI-based construction planning;Energy-neutral housing, AI-based construction planning, Seismic-resistant designs
ORG0000103;Skanska;Sweden;Civil Engineering;Construction;Seismic-resistant designs, 3D-printed building projects, AI-based construction planning;Energy-neutral housing, Zero-waste construction goals, 3D-printed building projects
ORG0000104;Skanska;Sweden;Commercial Construction;Construction;3D-printed building projects, Zero-waste construction goals, Energy-neutral housing;Energy-neutral housing, Zero-waste construction goals, Seismic-resistant designs
ORG0000105;Skanska;Sweden;Infrastructure Projects;Construction;Zero-waste construction goals, 3D-printed building projects, AI-based construction planning;Zero-waste construction goals, Smart city development, Energy-neutral housing
ORG0000106;Skanska;Sweden;Residential Construction;Construction;Zero-waste construction goals, AI-based construction planning, Smart city development;3D-printed building projects, Smart city development, Seismic-resistant designs
ORG0000107;Chanel;France;Luxury Goods;Consumer Goods;Zero-waste retail programs, Biodegradable material R&D, Ethical consumerism trends;AI-driven product recommendations, Minimalist packaging initiatives, Custom manufacturing scaling
ORG0000108;Estée Lauder Companies;United States;Personal Care Products;Consumer Goods;AI-driven product recommendations, Minimalist packaging initiatives, Zero-waste retail programs;AI-driven product recommendations, Ethical consumerism trends, Minimalist packaging initiatives
ORG0000109;Hermès International;France;Luxury Goods;Consumer Goods;Biodegradable material R&D, Ethical consumerism trends, AI-driven product recommendations;Minimalist packaging initiatives, Custom manufacturing scaling, Zero-waste retail programs
ORG0000110;L'Oréal;France;Personal Care Products;Consumer Goods;Custom manufacturing scaling, Ethical consumerism trends, AI-driven product recommendations;AI-driven product recommendations, Zero-waste retail programs, Ethical consumerism trends
ORG0000111;LVMH Moët Hennessy Louis Vuitton;France;Luxury Goods;Consumer Goods;AI-driven product recommendations, Ethical consumerism trends, Biodegradable material R&D;Custom manufacturing scaling, Ethical consumerism trends, Biodegradable material R&D
ORG0000112;Nestlé;Switzerland;Packaged Goods;Consumer Goods;AI-driven product recommendations, Ethical consumerism trends, Custom manufacturing scaling;Zero-waste retail programs, Minimalist packaging initiatives, AI-driven product recommendations
ORG0000113;Nike, Inc.;United States;Apparel & Footwear;Consumer Goods;Zero-waste retail programs, Ethical consumerism trends, AI-driven product recommendations;Custom manufacturing scaling, Biodegradable material R&D, Minimalist packaging initiatives
ORG0000114;Procter & Gamble;United States;Personal Care Products;Consumer Goods;Ethical consumerism trends, Biodegradable material R&D, Custom manufacturing scaling;Biodegradable material R&D, AI-driven product recommendations, Ethical consumerism trends
ORG0000115;Ralph Lauren Corporation;United States;Apparel & Footwear;Consumer Goods;Ethical consumerism trends, Biodegradable material R&D, AI-driven product recommendations;Minimalist packaging initiatives, AI-driven product recommendations, Ethical consumerism trends
ORG0000116;Reckitt Benckiser Group;United Kingdom;Packaged Goods;Consumer Goods;Ethical consumerism trends, Minimalist packaging initiatives, AI-driven product recommendations;Custom manufacturing scaling, Biodegradable material R&D, Ethical consumerism trends
ORG0000117;Richemont;Switzerland;Luxury Goods;Consumer Goods;Biodegradable material R&D, Zero-waste retail programs, Minimalist packaging initiatives;AI-driven product recommendations, Custom manufacturing scaling, Minimalist packaging initiatives
ORG0000118;The Coca-Cola Company;United States;Packaged Goods;Consumer Goods;Biodegradable material R&D, Ethical consumerism trends, Zero-waste retail programs;AI-driven product recommendations, Ethical consumerism trends, Zero-waste retail programs
ORG0000119;The Kraft Heinz Company;United States;Packaged Goods;Consumer Goods;AI-driven product recommendations, Custom manufacturing scaling, Minimalist packaging initiatives;AI-driven product recommendations, Biodegradable material R&D, Ethical consumerism trends
ORG0000120;Unilever;United Kingdom;Packaged Goods;Consumer Goods;Ethical consumerism trends, Custom manufacturing scaling, Minimalist packaging initiatives;Zero-waste retail programs, Custom manufacturing scaling, Minimalist packaging initiatives
ORG0000121;VF Corporation;United States;Apparel & Footwear;Consumer Goods;Biodegradable material R&D, AI-driven product recommendations, Zero-waste retail programs;Ethical consumerism trends, AI-driven product recommendations, Zero-waste retail programs
ORG0000122;Walmart Inc.;United States;Packaged Goods;Consumer Goods;Minimalist packaging initiatives, AI-driven product recommendations, Biodegradable material R&D;Ethical consumerism trends, Zero-waste retail programs, Biodegradable material R&D
ORG0000123;Coursera;United States;Online Education;Education;Coding & STEM funding, Adaptive curriculum financing, Gamification in learning;Adaptive curriculum financing, VR-based training modules, Coding & STEM funding
ORG0000124;edX;United States;Online Education;Education;VR-based training modules, AI tutors for personalization, Coding & STEM funding;VR-based training modules, Lifelong learning initiatives, Coding & STEM funding
ORG0000125;Khan Academy;United States;Online Education;Education;Gamification in learning, Lifelong learning initiatives, AI tutors for personalization;Adaptive curriculum financing, Gamification in learning, AI tutors for personalization
ORG0000126;Udemy;United States;Online Education;Education;Coding & STEM funding, Lifelong learning initiatives, Adaptive curriculum financing;Adaptive curriculum financing, VR-based training modules, AI tutors for personalization
ORG0000127;Harvard University;United States;Higher Education;Education;AI tutors for personalization, VR-based training modules, Lifelong learning initiatives;AI tutors for personalization, Coding & STEM funding, Gamification in learning
ORG0000128;Massachusetts Institute of Technology (MIT);United States;Higher Education;Education;Coding & STEM funding, Gamification in learning, Lifelong learning initiatives;VR-based training modules, Gamification in learning, Adaptive curriculum financing
ORG0000129;Stanford University;United States;Higher Education;Education;VR-based training modules, Adaptive curriculum financing, AI tutors for personalization;AI tutors for personalization, Gamification in learning, Coding & STEM funding
ORG0000130;University of Oxford;United Kingdom;Higher Education;Education;Gamification in learning, AI tutors for personalization, Lifelong learning initiatives;VR-based training modules, Adaptive curriculum financing, AI tutors for personalization
ORG0000131;KIPP Foundation;United States;K-12 Schools;Education;VR-based training modules, Coding & STEM funding, Gamification in learning;VR-based training modules, Adaptive curriculum financing, Lifelong learning initiatives
ORG0000132;Success Academy Charter Schools;United States;K-12 Schools;Education;Adaptive curriculum financing, AI tutors for personalization, Coding & STEM funding;Gamification in learning, Adaptive curriculum financing, AI tutors for personalization
ORG0000133;Uncommon Schools;United States;K-12 Schools;Education;Gamification in learning, VR-based training modules, Lifelong learning initiatives;Coding & STEM funding, Lifelong learning initiatives, Gamification in learning
ORG0000134;YES Prep Public Schools;United States;K-12 Schools;Education;VR-based training modules, Coding & STEM funding, AI tutors for personalization;Adaptive curriculum financing, VR-based training modules, Coding & STEM funding
ORG0000135;General Assembly;United States;Workforce Training;Education;Gamification in learning, Lifelong learning initiatives, Coding & STEM funding;AI tutors for personalization, Gamification in learning, VR-based training modules
ORG0000136;LinkedIn Learning;United States;Workforce Training;Education;Gamification in learning, Coding & STEM funding, Lifelong learning initiatives;VR-based training modules, AI tutors for personalization, Gamification in learning
ORG0000137;Pluralsight;United States;Workforce Training;Education;AI tutors for personalization, VR-based training modules, Adaptive curriculum financing;AI tutors for personalization, Gamification in learning, Coding & STEM funding
ORG0000138;Skillsoft;United States;Workforce Training;Education;Coding & STEM funding, Lifelong learning initiatives, Gamification in learning;Lifelong learning initiatives, AI tutors for personalization, Coding & STEM funding
ORG0000139;BP plc;United Kingdom;Oil & Gas;Energy;Transparent carbon pricing, Hydrogen fuel scaling, AI-driven energy demand modeling;Tidal & wave energy funds, Transparent carbon pricing, Hydrogen fuel scaling
ORG0000140;Chevron Corporation;United States;Oil & Gas;Energy;Off-grid renewable solutions, Tidal & wave energy funds, Hydrogen fuel scaling;Tidal & wave energy funds, Off-grid renewable solutions, Transparent carbon pricing
ORG0000141;ExxonMobil Corporation;United States;Oil & Gas;Energy;Transparent carbon pricing, AI-driven energy demand modeling, Hydrogen fuel scaling;AI-driven energy demand modeling, Hydrogen fuel scaling, Tidal & wave energy funds
ORG0000142;Royal Dutch Shell plc;Netherlands;Oil & Gas;Energy;Nuclear fusion research, Transparent carbon pricing, AI-driven energy demand modeling;Transparent carbon pricing, Off-grid renewable solutions, Hydrogen fuel scaling
ORG0000143;Duke Energy Corporation;United States;Electric Power;Energy;Hydrogen fuel scaling, AI-driven energy demand modeling, Transparent carbon pricing;Transparent carbon pricing, Tidal & wave energy funds, Nuclear fusion research
ORG0000144;Électricité de France S.A. (EDF);France;Electric Power;Energy;Off-grid renewable solutions, Hydrogen fuel scaling, Nuclear fusion research;AI-driven energy demand modeling, Off-grid renewable solutions, Hydrogen fuel scaling
ORG0000145;NextEra Energy, Inc.;United States;Electric Power;Energy;AI-driven energy demand modeling, Hydrogen fuel scaling, Off-grid renewable solutions;Off-grid renewable solutions, Nuclear fusion research, AI-driven energy demand modeling
ORG0000146;The Southern Company;United States;Electric Power;Energy;Transparent carbon pricing, Hydrogen fuel scaling, Tidal & wave energy funds;Nuclear fusion research, AI-driven energy demand modeling, Hydrogen fuel scaling
